link,name,type,canonical_name
/wiki/Gi%E1%BA%A3i_Nobel_V%E1%BA%ADt_l%C3%BD,Giải Nobel Vật lý,EVENT,giai nobel vat ly
/wiki/Gi%E1%BA%A3i_Nobel_H%C3%B3a_h%E1%BB%8Dc,Giải Nobel hóa học,EVENT,giai nobel hoa hoc
/wiki/Gi%E1%BA%A3i_Nobel_Sinh_l%C3%BD_h%E1%BB%8Dc_ho%E1%BA%B7c_Y_h%E1%BB%8Dc,Giải Nobel Sinh lý học hoặc Y học,EVENT,giai nobel sinh ly hoc hoac y hoc
/wiki/Gi%E1%BA%A3i_Nobel_V%C4%83n_h%E1%BB%8Dc,Giải Nobel Văn học,EVENT,giai nobel van hoc
/wiki/Gi%E1%BA%A3i_Nobel_H%C3%B2a_b%C3%ACnh,Giải Nobel Hòa bình,EVENT,giai nobel hoa binh
/wiki/Gi%E1%BA%A3i_Nobel_Kinh_t%E1%BA%BF,Giải Nobel Kinh tế,UNKNOWN,giai nobel kinh te
/wiki/Wilhelm_R%C3%B6ntgen,Wilhelm Röntgen,PERSON,wilhelm rontgen
/wiki/Jacobus_Henricus_van_%27t_Hoff,Jacobus Henricus van 't Hoff,PERSON,jacobus henricus van 't hoff
/wiki/Emil_Adolf_von_Behring,Emil Adolf von Behring,PERSON,emil adolf von behring
/wiki/Sully_Prudhomme,Sully Prudhomme,PERSON,sully prudhomme
/wiki/Henry_Dunant,Henry Dunant,PERSON,henry dunant
/wiki/Fr%C3%A9d%C3%A9ric_Passy,Frédéric Passy,UNKNOWN,frederic passy
/wiki/Hendrik_Lorentz,Hendrik Lorentz,PERSON,hendrik lorentz
/wiki/Pieter_Zeeman,Pieter Zeeman,PERSON,pieter zeeman
/wiki/Hermann_Emil_Fischer,Emil Fischer,PERSON,emil fischer
/wiki/Ronald_Ross,Ronald Ross,PERSON,ronald ross
/wiki/Theodor_Mommsen,Theodor Mommsen,PERSON,theodor mommsen
/wiki/%C3%89lie_Ducommun,Élie Ducommun,UNKNOWN,elie ducommun
/wiki/Charles_Albert_Gobat,Charles Albert Gobat,UNKNOWN,charles albert gobat
/wiki/Henri_Becquerel,Henri Becquerel,PERSON,henri becquerel
/wiki/Pierre_Curie,Pierre Curie,PERSON,pierre curie
/wiki/Marie_Curie,Marie Curie,PERSON,marie curie
/wiki/Svante_Arrhenius,Svante Arrhenius,PERSON,svante arrhenius
/wiki/Niels_Ryberg_Finsen,Niels Ryberg Finsen,UNKNOWN,niels ryberg finsen
/wiki/Bj%C3%B8rnstjerne_Bj%C3%B8rnson,Bjørnstjerne Bjørnson,PERSON,bj rnstjerne bj rnson
/wiki/Randal_Cremer,William Randal Cremer,UNKNOWN,william randal cremer
"/wiki/John_William_Strutt,_Nam_t%C6%B0%E1%BB%9Bc_Rayleigh_th%E1%BB%A9_3","John William Strutt, Nam tước Rayleigh thứ 3",PERSON,john william strutt nam tuoc rayleigh thu 3
/wiki/William_Ramsay,William Ramsay,PERSON,william ramsay
/wiki/Ivan_Pavlov,Ivan Petrovich Pavlov,PERSON,ivan petrovich pavlov
/wiki/Fr%C3%A9d%C3%A9ric_Mistral,Frédéric Mistral,PERSON,frederic mistral
/wiki/Jos%C3%A9_Echegaray,José Echegaray,PERSON,jose echegaray
/wiki/Philipp_Lenard,Philipp Lenard,PERSON,philipp lenard
/wiki/Adolf_von_Baeyer,Adolf von Baeyer,PERSON,adolf von baeyer
/wiki/Robert_Koch,Robert Koch,PERSON,robert koch
/wiki/Henryk_Sienkiewicz,Henryk Sienkiewicz,PERSON,henryk sienkiewicz
/wiki/Bertha_von_Suttner,Bertha von Suttner,PERSON,bertha von suttner
/wiki/J._J._Thomson,Joseph John Thomson,PERSON,joseph john thomson
/wiki/Henri_Moissan,Henri Moissan,PERSON,henri moissan
/wiki/Santiago_Ram%C3%B3n_y_Cajal,Santiago Ramón y Cajal,PERSON,santiago ramon y cajal
/wiki/Giosu%C3%A8_Carducci,Giosuè Carducci,PERSON,giosue carducci
/wiki/Theodore_Roosevelt,Theodore Roosevelt,PERSON,theodore roosevelt
/wiki/Albert_Abraham_Michelson,Albert Abraham Michelson,PERSON,albert abraham michelson
/wiki/Eduard_Buchner,Eduard Buchner,PERSON,eduard buchner
/wiki/Charles_Louis_Alphonse_Laveran,Charles Louis Alphonse Laveran,PERSON,charles louis alphonse laveran
/wiki/Rudyard_Kipling,Rudyard Kipling,PERSON,rudyard kipling
/wiki/Ernesto_Teodoro_Moneta,Ernesto Teodoro Moneta,PERSON,ernesto teodoro moneta
/wiki/Louis_Renault_(jurist),Louis Renault (luật gia),PERSON,louis renault luat gia
/wiki/Gabriel_Lippmann,Gabriel Lippmann,PERSON,gabriel lippmann
/wiki/Ernest_Rutherford,Ernest Rutherford,PERSON,ernest rutherford
/wiki/%C3%89lie_Metchnikoff,Ilya Ilyich Mechnikov,PERSON,ilya ilyich mechnikov
/wiki/Paul_Ehrlich,Paul Ehrlich,PERSON,paul ehrlich
/wiki/Rudolf_Christoph_Eucken,Rudolf Christoph Eucken,PERSON,rudolf christoph eucken
/wiki/Klas_Pontus_Arnoldson,Klas Pontus Arnoldson,PERSON,klas pontus arnoldson
/wiki/Fredrik_Bajer,Fredrik Bajer,PERSON,fredrik bajer
/wiki/Karl_Ferdinand_Braun,Karl Ferdinand Braun,PERSON,karl ferdinand braun
/wiki/Guglielmo_Marconi,Guglielmo Marconi,PERSON,guglielmo marconi
/wiki/Wilhelm_Ostwald,Wilhelm Ostwald,PERSON,wilhelm ostwald
/wiki/Emil_Theodor_Kocher,Emil Theodor Kocher,UNKNOWN,emil theodor kocher
/wiki/Selma_Lagerl%C3%B6f,Selma Lagerlöf,PERSON,selma lagerlof
/wiki/Auguste_Marie_Fran%C3%A7ois_Beernaert,Auguste Beernaert,UNKNOWN,auguste beernaert
/wiki/Paul-Henri-Benjamin_d%27Estournelles_de_Constant,Paul-Henri-Benjamin d'Estournelles de Constant,PERSON,paul-henri-benjamin d'estournelles de constant
/wiki/Johannes_Diderik_van_der_Waals,Johannes Diderik van der Waals,PERSON,johannes diderik van der waals
/wiki/Otto_Wallach,Otto Wallach,PERSON,otto wallach
/wiki/Albrecht_Kossel,Albrecht Kossel,PERSON,albrecht kossel
/wiki/Paul_Heyse,Paul Johann Ludwig von Heyse,PERSON,paul johann ludwig von heyse
/wiki/Ph%C3%B2ng_H%C3%B2a_b%C3%ACnh_Qu%E1%BB%91c_t%E1%BA%BF,Phòng Hòa bình Quốc tế,UNKNOWN,phong hoa binh quoc te
/wiki/Wilhelm_Wien,Wilhelm Wien,PERSON,wilhelm wien
/wiki/Allvar_Gullstrand,Allvar Gullstrand,PERSON,allvar gullstrand
/wiki/Maurice_Maeterlinck,Maurice Maeterlinck,PERSON,maurice maeterlinck
/wiki/Tobias_Asser,Tobias Michael Carel Asser,UNKNOWN,tobias michael carel asser
/wiki/Alfred_Hermann_Fried,Alfred Hermann Fried,UNKNOWN,alfred hermann fried
/wiki/Gustaf_Dal%C3%A9n,Gustaf Dalén,PERSON,gustaf dalen
/wiki/Victor_Grignard,Victor Grignard,PERSON,victor grignard
/wiki/Paul_Sabatier_(chemist),Paul Sabatier,PERSON,paul sabatier
/wiki/Alexis_Carrel,Alexis Carrel,PERSON,alexis carrel
/wiki/Gerhart_Hauptmann,Gerhart Hauptmann,PERSON,gerhart hauptmann
/wiki/Heike_Kamerlingh_Onnes,Heike Kamerlingh Onnes,PERSON,heike kamerlingh onnes
/wiki/Alfred_Werner,Alfred Werner,PERSON,alfred werner
/wiki/Charles_Richet,Charles Robert Richet,PERSON,charles robert richet
/wiki/Rabindranath_Tagore,Rabindranath Tagore,PERSON,rabindranath tagore
/wiki/Henri_La_Fontaine,Henri La Fontaine,UNKNOWN,henri la fontaine
/wiki/Max_von_Laue,Max von Laue,PERSON,max von laue
/wiki/Theodore_William_Richards,Theodore William Richards,UNKNOWN,theodore william richards
/wiki/Robert_B%C3%A1r%C3%A1ny,Robert Bárány,PERSON,robert barany
/wiki/William_Henry_Bragg,William Henry Bragg,PERSON,william henry bragg
/wiki/William_Lawrence_Bragg,William Lawrence Bragg,PERSON,william lawrence bragg
/wiki/Richard_Willst%C3%A4tter,Richard Willstätter,PERSON,richard willstatter
/wiki/Romain_Rolland,Romain Rolland,PERSON,romain rolland
/wiki/Verner_von_Heidenstam,Verner von Heidenstam,PERSON,verner von heidenstam
/wiki/Charles_Glover_Barkla,Charles Glover Barkla,PERSON,charles glover barkla
/wiki/Karl_Adolph_Gjellerup,Karl Gjellerup,PERSON,karl gjellerup
/wiki/Henrik_Pontoppidan,Henrik Pontoppidan,PERSON,henrik pontoppidan
/wiki/%E1%BB%A6y_ban_Ch%E1%BB%AF_th%E1%BA%ADp_%C4%91%E1%BB%8F_qu%E1%BB%91c_t%E1%BA%BF,Ủy ban Chữ thập đỏ quốc tế,UNKNOWN,uy ban chu thap o quoc te
/wiki/Max_Planck,Max Planck,PERSON,max planck
/wiki/Fritz_Haber,Fritz Haber,PERSON,fritz haber
/wiki/Johannes_Stark,Johannes Stark,PERSON,johannes stark
/wiki/Jules_Bordet,Jules Bordet,PERSON,jules bordet
/wiki/Carl_Spitteler,Carl Spitteler,PERSON,carl spitteler
/wiki/Woodrow_Wilson,Woodrow Wilson,PERSON,woodrow wilson
/wiki/Charles_%C3%89douard_Guillaume,Charles Édouard Guillaume,PERSON,charles edouard guillaume
/wiki/Walther_Nernst,Walther Nernst,PERSON,walther nernst
/wiki/August_Krogh,August Krogh,PERSON,august krogh
/wiki/Knut_Hamsun,Knut Hamsun,PERSON,knut hamsun
/wiki/Albert_Einstein,Albert Einstein,PERSON,albert einstein
/wiki/Frederick_Soddy,Frederick Soddy,PERSON,frederick soddy
/wiki/Anatole_France,Anatole France,PERSON,anatole france
/wiki/Hjalmar_Branting,Hjalmar Branting,PERSON,hjalmar branting
/wiki/Christian_Lous_Lange,Christian Lous Lange,UNKNOWN,christian lous lange
/wiki/Niels_Bohr,Niels Bohr,PERSON,niels bohr
/wiki/Francis_William_Aston,Francis William Aston,PERSON,francis william aston
/wiki/Otto_Fritz_Meyerhof,Otto Fritz Meyerhof,PERSON,otto fritz meyerhof
/wiki/Jacinto_Benavente,Jacinto Benavente,PERSON,jacinto benavente
/wiki/Fridtjof_Nansen,Fridtjof Nansen,PERSON,fridtjof nansen
/wiki/Robert_Andrews_Millikan,Robert Millikan,PERSON,robert millikan
/wiki/Fritz_Pregl,Fritz Pregl,PERSON,fritz pregl
/wiki/Frederick_Banting,Frederick Banting,PERSON,frederick banting
/wiki/John_James_Rickard_Macleod,John James Rickard Macleod,PERSON,john james rickard macleod
/wiki/W._B._Yeats,William Butler Yeats,PERSON,william butler yeats
/wiki/Manne_Siegbahn,Manne Siegbahn,PERSON,manne siegbahn
/wiki/Willem_Einthoven,Willem Einthoven,PERSON,willem einthoven
/wiki/W%C5%82adys%C5%82aw_Reymont,Władysław Reymont,PERSON,w adys aw reymont
/wiki/James_Franck,James Franck,PERSON,james franck
/wiki/Gustav_Ludwig_Hertz,Gustav Ludwig Hertz,PERSON,gustav ludwig hertz
