src,des,type
Aage Bohr,/Giải Của Viện Franklin,Giải thưởng
Aage Bohr,Copenhagen,Mất
Aage Bohr,Copenhagen,Sinh
Aage Bohr,Dự Án Manhattan,Nơi công tác
Aage Bohr,Giải Nobel Vật Lý,Giải thưởng
Aage Bohr,Huy Chương H. C. Ørsted,Giải thưởng
Aage Bohr,Đan Mạch,Mất
Aage Bohr,Đan Mạch,Quốc tịch
Aage Bohr,Đan Mạch,Sinh
Aage Bohr,Đại Học Copenhagen,Nơi công tác
Aage Bohr,Đại Học Copenhagen,Trường lớp
Aaron Ciechanover,Danh Sách Người Đoạt Giải Nobel Hóa Học,Giải thưởng
Aaron Ciechanover,Haifa,Sinh
Aaron Ciechanover,Israel,Quốc tịch
Aaron Ciechanover,Palestine,Sinh
Aaron Klug,Anh,Quốc tịch
Aaron Klug,Cambridge,Mất
Aaron Klug,Danh Sách Người Đoạt Giải Nobel Hóa Học,Giải thưởng
Aaron Klug,Litva,Sinh
Aaron Klug,Vương Quốc Liên Hiệp Anh Và Ireland,Mất
Aaron Klug,Želva,Sinh
Abdulrazak Gurnah,/Sultanate Of Zanzibar,Sinh
Abdulrazak Gurnah,Giải Nobel Văn Chương,Giải thưởng nổi bật
Abdus Salam,/Abdul Hameed Nayyar,Các nghiên cứu sinh nổi tiếng
Abdus Salam,"/Cao Đẳng Saint John, Cambridge",Trường lớp
Abdus Salam,/Faheem Hussain,Các nghiên cứu sinh nổi tiếng
Abdus Salam,/Fayyazuddin,Các nghiên cứu sinh nổi tiếng
Abdus Salam,/Ghulam Dastagir Alam,Các nghiên cứu sinh nổi tiếng
Abdus Salam,/Ghulam Murtaza,Các nghiên cứu sinh nổi tiếng
Abdus Salam,/Giải Adams,Giải thưởng
Abdus Salam,/Giải Smith,Giải thưởng
Abdus Salam,/Huy Chương Vàng Lomonosov,Giải thưởng
Abdus Salam,/Huân Chương Hughes,Giải thưởng
Abdus Salam,/Học Viện Khoa Học Thế Giới,Nơi công tác
Abdus Salam,/John Moffat,Các nghiên cứu sinh nổi tiếng
Abdus Salam,/John Polkinghorne,Các nghiên cứu sinh nổi tiếng
Abdus Salam,/Kamaluddin Ahmed,Các nghiên cứu sinh nổi tiếng
Abdus Salam,/Masud Ahmad,Các nghiên cứu sinh nổi tiếng
Abdus Salam,/Michael Duff,Các nghiên cứu sinh nổi tiếng
Abdus Salam,/Munir Ahmad Rashid,Các nghiên cứu sinh nổi tiếng
Abdus Salam,/Nicholas Kemmer,Người hướng dẫn luận án tiến sĩ
Abdus Salam,/Nishan-E-Imtiaz,Giải thưởng
