link,name,type
/wiki/Gi%E1%BA%A3i_Nobel_V%E1%BA%ADt_l%C3%BD,Giải Nobel Vật lý,AWARD
/wiki/Gi%E1%BA%A3i_Nobel_H%C3%B3a_h%E1%BB%8Dc,Giải Nobel hóa học,AWARD
/wiki/Gi%E1%BA%A3i_Nobel_Sinh_l%C3%BD_h%E1%BB%8Dc_ho%E1%BA%B7c_Y_h%E1%BB%8Dc,Giải Nobel Sinh lý học hoặc Y học,AWARD
/wiki/Gi%E1%BA%A3i_Nobel_V%C4%83n_h%E1%BB%8Dc,Giải Nobel Văn học,AWARD
/wiki/Gi%E1%BA%A3i_Nobel_H%C3%B2a_b%C3%ACnh,Giải Nobel Hòa bình,AWARD
/wiki/Gi%E1%BA%A3i_Nobel_Kinh_t%E1%BA%BF,Giải Nobel Kinh tế,AWARD 
/wiki/Wilhelm_R%C3%B6ntgen,Wilhelm Röntgen,PERSON
/wiki/Jacobus_Henricus_van_%27t_Hoff,Jacobus Henricus van 't Hoff,PERSON
/wiki/Emil_Adolf_von_Behring,Emil Adolf von Behring,PERSON
/wiki/Sully_Prudhomme,Sully Prudhomme,PERSON
/wiki/Henry_Dunant,Henry Dunant,PERSON
/wiki/Fr%C3%A9d%C3%A9ric_Passy,Frédéric Passy,PERSON
/wiki/Hendrik_Lorentz,Hendrik Lorentz,PERSON
/wiki/Pieter_Zeeman,Pieter Zeeman,PERSON
/wiki/Hermann_Emil_Fischer,Emil Fischer,PERSON
/wiki/Ronald_Ross,Ronald Ross,PERSON
/wiki/Theodor_Mommsen,Theodor Mommsen,PERSON
/wiki/%C3%89lie_Ducommun,Élie Ducommun,PERSON
/wiki/Charles_Albert_Gobat,Charles Albert Gobat,PERSON
/wiki/Henri_Becquerel,Henri Becquerel,PERSON
/wiki/Pierre_Curie,Pierre Curie,PERSON
/wiki/Marie_Curie,Marie Curie,PERSON
/wiki/Svante_Arrhenius,Svante Arrhenius,PERSON
/wiki/Niels_Ryberg_Finsen,Niels Ryberg Finsen,PERSON
/wiki/Bj%C3%B8rnstjerne_Bj%C3%B8rnson,Bjørnstjerne Bjørnson,PERSON
/wiki/Randal_Cremer,William Randal Cremer,PERSON
"/wiki/John_William_Strutt,_Nam_t%C6%B0%E1%BB%9Bc_Rayleigh_th%E1%BB%A9_3","John William Strutt, Nam tước Rayleigh thứ 3",PERSON
/wiki/William_Ramsay,William Ramsay,PERSON
/wiki/Ivan_Pavlov,Ivan Petrovich Pavlov,PERSON
/wiki/Fr%C3%A9d%C3%A9ric_Mistral,Frédéric Mistral,PERSON
/wiki/Jos%C3%A9_Echegaray,José Echegaray,PERSON
/wiki/Philipp_Lenard,Philipp Lenard,PERSON
/wiki/Adolf_von_Baeyer,Adolf von Baeyer,PERSON
/wiki/Robert_Koch,Robert Koch,PERSON
/wiki/Henryk_Sienkiewicz,Henryk Sienkiewicz,PERSON
/wiki/Bertha_von_Suttner,Bertha von Suttner,PERSON
/wiki/J._J._Thomson,Joseph John Thomson,PERSON
/wiki/Henri_Moissan,Henri Moissan,PERSON
/wiki/Santiago_Ram%C3%B3n_y_Cajal,Santiago Ramón y Cajal,PERSON
/wiki/Giosu%C3%A8_Carducci,Giosuè Carducci,PERSON
/wiki/Theodore_Roosevelt,Theodore Roosevelt,PERSON
/wiki/Albert_Abraham_Michelson,Albert Abraham Michelson,PERSON
/wiki/Eduard_Buchner,Eduard Buchner,PERSON
/wiki/Charles_Louis_Alphonse_Laveran,Charles Louis Alphonse Laveran,PERSON
/wiki/Rudyard_Kipling,Rudyard Kipling,PERSON
/wiki/Ernesto_Teodoro_Moneta,Ernesto Teodoro Moneta,PERSON
/wiki/Louis_Renault_(jurist),Louis Renault (luật gia),PERSON
/wiki/Gabriel_Lippmann,Gabriel Lippmann,PERSON
/wiki/Ernest_Rutherford,Ernest Rutherford,PERSON
/wiki/%C3%89lie_Metchnikoff,Ilya Ilyich Mechnikov,PERSON
/wiki/Paul_Ehrlich,Paul Ehrlich,PERSON
